Ward,Precinct,Submission Date,Comment Period End Date,Ordinance Introduction Date,Ordinance Effective Date,Scope of Restriction,Enacting Ordinance,Repeal Submission Date,Repeal Comment Period End Date,Repeal Ordinance Introduction Date,Repeal Ordinance Effective Date,Repeal Ordinance
13,33,04/26/2017,05/26/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P33.pdf,,,,,
13,4,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,6,05/03/2017,06/02/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P6.pdf,,,,,
13,10,04/14/2017,05/14/2017,05/24/2017,07/26/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P10.pdf,,,,,
13,5,04/16/2018,05/16/2018,05/25/2018,06/27/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6270640&GUID=8DCE8C52-FAC1-472B-8099-854D93212903,,,,,
13,48,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,44,09/04/2018,10/04/2018,11/14/2018,03/13/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6779786&GUID=22FF44F2-7CFB-4735-94DA-555305B8468F,,,,,
13,13,06/15/2017,07/15/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W13_P13.pdf,,,,,
23,22,07/18/2017,08/17/2017,11/21/2017,01/17/2018,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/file/7565/download?token=pS5k0e_K,,,,,
13,23,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760026&GUID=25D054BE-E473-487C-9632-D18105A7D261,,,,,
23,18,07/18/2017,08/17/2017,10/11/2017,11/15/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P18.pdf,,,,,
13,27,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,19,04/04/2018,05/04/2018,05/25/2018,06/27/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6270640&GUID=8DCE8C52-FAC1-472B-8099-854D93212903,,,,,
13,14,11/27/2017,12/27/2017,01/17/2018,03/28/2018,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/file/7631/download?token=8DJgn1KC,,,,,
13,46,02/20/2018,03/22/2018,03/28/2018,05/25/2018,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/file/7763/download?token=p9DMcXTX,,,,,
13,38,05/17/2017,06/16/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P38.pdf,,,,,
13,8,05/31/2017,06/30/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P8.pdf,,,,,
13,33,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,12,11/17/2011,,11/17/2021,12/15/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
13,39,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760030&GUID=79FD7268-06E1-4C71-B04F-2D359A598AC9,,,,,
13,43,09/14/2021,,09/14/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
13,21,04/13/2017,05/13/2017,05/24/2017,07/26/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P10.pdf,,,,,
13,31,05/03/2017,06/02/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P31.pdf,,,,,
11,31,06/25/2019,07/25/2019,10/16/2019,11/13/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7806178&GUID=DF95A64D-424C-4B3A-819F-865BA9E7C5D1,,,,,
13,15,08/23/2019,09/23/2019,10/16/2019,11/13/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7806170&GUID=6382C507-061B-4B95-8974-6C2112D695A2,,,,,
13,38,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,34,09/14/2021,,09/14/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
13,18,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,17,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,11,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,10,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,29,10/23/2017,11/22/2017,12/13/2017,02/28/2018,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/file/7598/download?token=0EJpO5tI,,,,,
23,22,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
41,22,10/13/2017,11/13/2017,05/26/2021,07/21/2021,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/LegislationDetail.aspx?ID=4964078&GUID=F9C3D5C4-9A7F-4F60-83BA-9B7E10E3206D&Options=Advanced&Search=,,,,,
23,29,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,6,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,27,06/15/2017,07/15/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P27.pdf,,,,,
13,13,09/14/2021,,09/14/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
13,1,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
23,23,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,4,07/14/2017,08/13/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P4.pdf,,,,,
13,16,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760024&GUID=9A3A95EB-3632-4BA9-BC88-D41AF5DB422C,,,,,
13,1,06/09/2017,07/09/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P1.pdf,,,,,
13,14,11/17/2011,,11/17/2011,12/15/2021,Externsion,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
13,11,05/17/2017,06/16/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P11.pdf,,,,,
13,31,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,17,05/25/2017,06/24/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P17.pdf,,,,,
23,35,09/26/2019,10/26/2019,11/20/2019,12/18/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7877731&GUID=7A00DCAE-78AE-4CC8-9F7C-0ECEB3FFA747,,,,,
13,8,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,43,06/19/2017,07/19/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W13_P43.pdf,,,,,
23,8,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,48,04/14/2017,05/14/2017,05/24/2017,07/26/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P48.pdf,,,,,
13,29,11/17/2011,,11/17/2011,12/15/2021,Externsion,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
13,30,07/27/2018,08/26/2018,09/20/2018,10/31/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6635773&GUID=A58BF9F6-ABE6-4522-A041-B517BAE6E14F,,,,,
13,42,04/26/2017,05/26/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P42.pdf,,,,,
13,20,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,4,05/04/2017,06/03/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P4.pdf,,,,,
13,37,11/01/2019,12/01/2019,12/18/2019,01/15/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7968908&GUID=FD1D0F0E-A5ED-4064-930B-E2A93476B608,,,,,
23,23,07/18/2017,08/17/2017,10/11/2017,11/15/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P23.pdf,,,,,
13,32,05/03/2017,06/02/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P32.pdf,,,,,
13,35,07/31/2019,08/31/2019,09/18/2019,10/16/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7718551&GUID=34DF7AC7-D995-4FAB-B3B1-521999A07308,,,,,
23,1,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,18,05/31/2017,06/30/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P18.pdf,,,,,
23,1,07/11/2017,08/10/2017,10/11/2017,11/15/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P1.pdf,,,,,
13,7,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760022&GUID=ACDEFD9A-F7F3-40C1-8D0D-80659B5544DE,,,,,
23,18,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,22,05/12/2017,06/11/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P22.pdf,,,,,
23,6,05/26/2021,,05/26/2021,07/14/2021,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/LegislationDetail.aspx?ID=4964110&GUID=7B77F863-480E-4ECF-8BFA-F7FDDD0BDCF8&Options=Advanced&Search=,,,,,
13,20,04/26/2017,05/26/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P20.pdf,,,,,
23,8,07/18/2017,08/17/2017,10/11/2017,11/15/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P8.pdf,,,,,
13,45,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,40,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760032&GUID=33719F6A-59EC-4852-BF0A-F35960790E1E,,,,,
23,4,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,26,05/31/2017,06/30/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P26.pdf,,,,,
13,12,11/06/2017,12/06/2017,12/13/2017,02/28/2018,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/file/7597/download?token=JmF3v7y3,,,,,
13,34,09/19/2017,10/19/2017,11/08/2017,11/21/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W13_P34.pdf,,,,,
13,2,05/23/2017,06/22/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P2.pdf,,,,,
23,38,11/15/2019,12/15/2019,12/18/2019,01/15/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7968910&GUID=A7A362E1-48AB-4C56-A7C7-79BCF8E894E5,,,,,
