,index,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
30,1528,JE217167,05/02/2021 01:45:00 PM,098XX S STATE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,N,N,511,21,14,,,,,
31,1558,JE414186,10/16/2021 11:30:00 AM,002XX W WASHINGTON ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,122,42,06,,,,,
32,1612,JE418434,09/12/2021 09:00:00 AM,069XX S KARLOV AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,833,13,11,,,,,
33,1614,JE414098,10/16/2021 11:30:00 AM,055XX S SHORE DR,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,235,5,06,,,,,
34,1676,JE363228,09/05/2021 05:44:00 PM,046XX N PAULINA ST,0810,THEFT,OVER $500,APARTMENT,N,N,1912,47,06,,,,,
35,1716,JE385876,09/01/2021 12:51:00 PM,035XX S DR MARTIN LUTHER KING JR DR,0810,THEFT,OVER $500,APARTMENT,N,N,212,4,06,,,,,
36,1734,JE353889,08/10/2021 06:40:00 AM,005XX W 123RD ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER (SPECIFY),N,N,523,34,11,,,,,
37,1798,JE377995,09/18/2021 03:47:00 AM,0000X W CONGRESS PKWY,0560,ASSAULT,SIMPLE,GAS STATION,N,N,113,4,08A,,,,,
38,1869,JF119925,08/21/2021 12:00:00 PM,036XX N HALSTED ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,N,N,1923,44,26,,,,,
39,1953,JE270657,06/17/2021 12:55:00 PM,061XX N Glenwood Ave,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,2433,48,11,,,,,
40,1963,JE482800,10/13/2021 09:00:00 AM,049XX W CATALPA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1621,39,11,,,,,
41,2052,JF169049,03/07/2022 02:35:00 PM,057XX N Lincoln Ave,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2011,40,06,,,,,
42,2061,JF172507,02/25/2022 12:00:00 PM,010XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1232,25,11,,,,,
43,2141,JE482471,11/26/2021 04:00:00 PM,009XX S CLARK ST,1120,DECEPTIVE PRACTICE,FORGERY,,N,N,123,4,10,,,,,
44,2306,JF167309,03/07/2022 03:05:00 PM,027XX N PINE GROVE AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1935,43,06,,,,,
45,2366,JE218978,05/02/2021 04:45:00 PM,007XX W RANDOLPH ST,0870,THEFT,POCKET-PICKING,CTA BUS,N,N,1224,27,06,,,,,
46,2434,JE493649,12/29/2021 12:50:00 PM,019XX W Dickens Ave,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,N,1432,32,14,,,,,
47,2510,JE418482,10/16/2021 10:00:00 PM,016XX W WINONA ST,0810,THEFT,OVER $500,STREET,N,N,2032,40,06,,,,,
48,2515,JE385241,09/16/2021 03:00:00 AM,020XX N SOUTHPORT AVE,0810,THEFT,OVER $500,STREET,N,N,1811,2,06,,,,,
49,2651,JE411293,10/16/2021 01:38:00 AM,0000X W CONGRESS PKWY,0860,THEFT,RETAIL THEFT,GAS STATION,N,N,113,4,06,,,,,
50,2677,JE385382,06/30/2021 05:05:00 PM,050XX N MOZART ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,2031,40,11,,,,,
51,2734,JF120044,11/10/2021 12:00:00 AM,034XX W BERTEAU AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1723,35,06,,,,,
52,2740,JE379516,09/18/2021 04:50:00 PM,007XX W BITTERSWEET PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,1915,46,11,,,,,
53,2763,JE379597,09/18/2021 11:20:00 PM,017XX W CATALPA AVE,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,2012,40,06,,,,,
54,2856,JF119767,03/31/2021 11:20:00 AM,041XX W FULLERTON AVE,0890,THEFT,FROM BUILDING,FACTORY / MANUFACTURING BUILDING,N,N,2524,31,06,,,,,
55,2948,JE397273,10/02/2021 03:30:00 AM,034XX N HALSTED ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1924,44,06,,,,,
56,2966,JE414698,10/16/2021 03:07:00 AM,022XX W ESTES AVE,0810,THEFT,OVER $500,STREET,N,N,2411,50,06,,,,,
57,2971,JF173286,06/01/2021 09:00:00 AM,016XX N OAKLEY AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1434,32,11,,,,,
58,3081,JE270628,06/18/2021 01:45:00 PM,001XX N KEELER AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VEHICLE NON-COMMERCIAL,Y,N,1114,28,18,,,,,
59,3158,JF167912,03/07/2022 03:00:00 PM,012XX W ELMDALE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,2433,48,11,,,,,
60,3234,JF167924,03/07/2022 10:00:00 PM,020XX N KEDZIE AVE,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,1414,32,06,,,,,
61,3270,JE416417,10/16/2021 07:30:00 PM,015XX N WELLS ST,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1821,27,06,,,,,
62,3372,JE334594,08/09/2021 11:00:00 PM,009XX W WRIGHTWOOD AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1935,43,06,,,,,
63,3441,JF155843,12/15/2021 08:00:00 PM,056XX W HURON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,N,Y,1511,29,07,,,,,
64,3596,JE418282,09/02/2021 11:00:00 AM,003XX W WELLINGTON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1934,44,26,,,,,
65,3692,JE319768,07/30/2021 11:56:00 AM,004XX S PULASKI RD,2024,NARCOTICS,POSSESS - HEROIN (WHITE),PARKING LOT / GARAGE (NON RESIDENTIAL),Y,N,1132,28,18,,,,,
66,3748,JE399065,10/02/2021 11:30:00 PM,051XX S NEWCASTLE AVE,0810,THEFT,OVER $500,STREET,N,N,811,23,06,,,,,
67,3818,JE429790,10/30/2021 07:00:00 PM,0000X E OHIO ST,0810,THEFT,OVER $500,RESTAURANT,N,N,1834,42,06,,,,,
68,3938,JF155544,12/27/2021 12:00:00 AM,107XX S ALBANY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2211,19,11,,,,,
69,3990,JF155526,06/30/2021 12:00:00 PM,049XX W CORNELIA AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,1634,31,26,,,,,
70,3995,JE314767,07/26/2021 12:40:00 PM,003XX W CERMAK RD,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,Y,N,914,25,18,,,,,
71,4023,JF151077,02/19/2022 11:40:00 AM,011XX N LOCKWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1524,37,11,,,,,
72,4044,JE303447,07/16/2021 01:17:14 PM,004XX N LAWNDALE AVE,2027,NARCOTICS,POSSESS - CRACK,RESIDENCE,Y,N,1122,27,18,,,,,
73,4048,JE280023,06/26/2021 10:43:00 AM,039XX W CONGRESS PKWY,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1132,28,18,,,,,
74,4095,JF119483,12/21/2021 11:30:00 PM,013XX W RANDOLPH ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1224,27,06,,,,,
75,4119,JF137487,12/20/2021 12:00:00 AM,042XX W FORD CITY DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,833,18,11,,,,,
76,4142,JF119462,12/03/2021 01:40:00 PM,029XX W FILLMORE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1135,28,11,,,,,
77,4159,JF137015,12/25/2021 04:00:00 PM,012XX W 98TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2213,21,06,,,,,
78,4183,JE492005,12/29/2021 11:39:00 AM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,111,42,06,,,,,
79,4208,JF119771,11/20/2021 12:00:00 PM,086XX W SUMMERDALE AVE,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,N,N,1614,41,10,,,,,
80,4214,JE325739,08/04/2021 11:35:00 AM,002XX W 109TH ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),STREET,Y,N,513,34,18,,,,,
81,4244,JF136497,12/13/2021 11:00:00 AM,008XX W MONROE ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1232,27,05,,,,,
82,4292,JF153369,02/19/2022 12:00:00 AM,015XX W ADDISON ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1922,44,06,,,,,
83,4308,JE483428,12/14/2021 11:20:00 PM,044XX N BEACON ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1913,46,06,,,,,
84,4331,JE493044,12/29/2021 06:16:00 PM,006XX N LA SALLE DR,0810,THEFT,OVER $500,GAS STATION,N,N,1832,42,06,,,,,
85,4356,JF155686,12/27/2021 07:30:00 AM,086XX S SOUTH CHICAGO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,423,7,07,,,,,
86,4385,JF119857,01/11/2022 02:24:00 PM,046XX N Damen Ave,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1912,47,11,,,,,
87,4440,JF136927,12/21/2021 12:00:00 AM,011XX W 19TH ST,1120,DECEPTIVE PRACTICE,FORGERY,SCHOOL - PUBLIC BUILDING,N,N,1235,25,10,,,,,
88,4495,JF136624,11/26/2021 10:00:00 AM,058XX S MARYLAND AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,235,5,11,,,,,
89,4516,JE482863,12/14/2021 01:15:00 PM,063XX S SANGAMON ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,723,16,06,,,,,
90,4538,JE218170,05/02/2021 03:00:00 PM,018XX W LELAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1912,47,14,,,,,
91,4617,JF119716,12/24/2021 08:00:00 AM,036XX W AINSLIE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,1712,33,26,,,,,
92,4619,JF113973,01/15/2022 12:45:00 PM,092XX S THROOP ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2222,21,06,,,,,
93,4699,JE430969,10/30/2021 12:30:00 PM,001XX N State St,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,111,42,11,,,,,
94,4786,JF120164,12/23/2021 12:30:00 PM,014XX N WELLS ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1821,27,06,,,,,
95,4820,JF118532,12/16/2021 03:00:00 PM,025XX S KILDARE AVE,1541,OBSCENITY,SALE / DISTRIBUTE OBSCENE MATERIAL TO MINOR,SCHOOL - PUBLIC BUILDING,Y,N,1013,22,26,,,,,
96,4897,JF119648,01/12/2022 05:26:00 PM,010XX W MADISON ST,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,N,N,1232,25,06,,,,,
97,4975,JE402360,09/23/2021 10:35:00 PM,002XX W WASHINGTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,122,42,11,,,,,
98,5028,JF119785,06/01/2021 09:00:00 AM,033XX W CONGRESS PKWY,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1134,28,05,,,,,
99,5086,JF120151,04/12/2021 12:00:00 PM,105XX S PARNELL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2233,34,11,,,,,
100,5149,JF120215,08/25/2021 05:00:00 PM,062XX N MAGNOLIA AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,N,N,2433,48,17,,,,,
101,5215,JF119695,12/22/2021 12:00:00 AM,012XX N LA SALLE DR,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1821,2,06,,,,,
102,5272,JE379649,09/19/2021 01:05:00 AM,032XX N SHEFFIELD AVE,0810,THEFT,OVER $500,BAR OR TAVERN,N,N,1924,44,06,,,,,
103,5278,JE493480,12/30/2021 10:45:00 PM,016XX W CHASE AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,2423,49,08B,,,,,
104,5346,JF119576,12/27/2021 02:05:00 AM,119XX S LAFAYETTE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,522,9,08A,,,,,
105,5348,JF120399,12/20/2021 12:00:00 AM,016XX N MILWAUKEE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,N,N,1434,2,11,,,,,
106,5399,JF119930,12/07/2021 12:00:00 AM,001XX W DIVISION ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,BANK,N,N,1821,2,11,,,,,
107,5439,JF119621,05/20/2021 10:50:00 AM,115XX S STATE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,522,34,11,,,,,
108,5446,JE326750,08/05/2021 09:03:00 AM,002XX S PULASKI RD,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1115,28,18,,,,,
109,5448,JE224601,05/09/2021 11:32:00 AM,0000X S WHIPPLE ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1124,28,18,,,,,
110,5492,JF120283,12/26/2021 12:00:00 AM,057XX N BROADWAY,0610,BURGLARY,FORCIBLE ENTRY,STREET,N,N,2013,48,05,,,,,
111,5543,JF136337,11/18/2021 12:00:00 AM,058XX S EMERALD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,711,20,11,,,,,
112,5641,JF119704,10/16/2021 02:00:00 AM,011XX N LA SALLE DR,0291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,VEHICLE NON-COMMERCIAL,N,N,1824,27,02,,,,,
113,5661,JE183186,03/29/2021 09:14:00 AM,030XX N LINCOLN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,1932,32,11,,,,,
114,5732,JF172808,04/07/2021 12:00:00 AM,029XX W 83RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,835,18,11,,,,,
115,5764,JF167914,03/07/2022 05:00:00 PM,023XX W GIDDINGS ST,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1911,47,06,,,,,
116,5837,JE448942,11/14/2021 10:13:00 AM,046XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,1722,45,06,,,,,
117,5848,JF120067,12/13/2021 04:30:00 PM,003XX W ARMITAGE AVE,1330,CRIMINAL TRESPASS,TO LAND,SCHOOL - PRIVATE GROUNDS,N,N,1814,43,26,,,,,
118,5854,JF120632,12/12/2021 12:00:00 AM,070XX S ARTESIAN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,832,17,06,,,,,
119,5879,JF132515,02/01/2022 12:25:00 PM,011XX N CLARK ST,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,1824,2,06,,,,,
120,6004,JF119766,11/17/2021 12:05:00 PM,045XX W ANN LURIE PL,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,N,N,815,14,10,,,,,
121,6053,JF165845,03/07/2022 12:06:00 AM,065XX S LOWE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,ATM (AUTOMATIC TELLER MACHINE),N,N,723,20,11,,,,,
122,6079,JF120032,12/17/2021 12:00:00 PM,072XX N WASHTENAW AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,2411,50,10,,,,,
123,6110,JE284809,06/30/2021 01:19:00 PM,007XX N HARDING AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1112,37,18,,,,,
124,6126,JF119681,12/05/2021 06:00:00 AM,023XX W BIRCHWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),N,N,2411,50,26,,,,,
125,6240,JF119647,12/24/2021 06:00:00 PM,011XX S WABASH AVE,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,123,4,06,,,,,
126,6268,JF113924,01/15/2022 01:15:00 PM,010XX W ARGYLE ST,0560,ASSAULT,SIMPLE,STREET,N,N,2024,48,08A,,,,,
127,6271,JF119904,12/17/2021 01:25:00 PM,014XX N LINDER AVE,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,2532,37,06,,,,,
128,6301,JF173297,12/16/2021 08:00:00 AM,073XX S PEORIA ST,0820,THEFT,$500 AND UNDER,STREET,N,N,733,17,06,,,,,
129,6325,JF119870,06/03/2021 11:00:00 AM,057XX N MOZART ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,2011,40,26,,,,,
130,6351,JF119884,11/01/2021 12:00:00 AM,027XX S MILLARD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1032,22,11,,,,,
131,6367,JF137115,10/29/2021 04:00:00 PM,021XX N AVERS AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,N,N,2525,26,17,,,,,
132,6395,JF119872,06/01/2021 12:00:00 AM,038XX N PIONEER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1631,38,11,,,,,
133,6419,JF119853,11/25/2021 10:30:00 PM,061XX S LANGLEY AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,313,20,06,,,,,
134,6420,JF119629,12/14/2021 03:00:00 PM,008XX W 119TH ST,0890,THEFT,FROM BUILDING,LIBRARY,N,N,524,34,06,,,,,
135,6434,JF119723,12/18/2021 03:00:00 PM,015XX E 61ST ST,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,314,5,08A,,,,,
136,6452,JF104802,12/10/2021 10:27:00 AM,014XX E 72ND ST,0810,THEFT,OVER $500,RESIDENCE,N,N,324,8,06,,,,,
137,6491,JF136500,12/20/2021 10:00:00 PM,031XX S RACINE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,913,11,07,,,,,
138,6541,JF137072,08/16/2021 08:00:00 AM,014XX W SUPERIOR ST,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC GROUNDS,N,N,1215,27,08A,,,,,
139,6547,JE285952,07/01/2021 12:30:00 PM,003XX S KILBOURN AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),OTHER (SPECIFY),Y,N,1131,28,18,,,,,
140,6604,JF131557,02/01/2022 06:20:00 PM,042XX W WILCOX ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,1115,28,11,,,,,
141,6608,JF136859,09/01/2021 08:00:00 AM,054XX S DREXEL AVE,0810,THEFT,OVER $500,APARTMENT,N,N,233,5,06,,,,,
142,6633,JF136185,11/09/2021 09:40:00 PM,026XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1935,43,06,,,,,
143,6687,JF136184,11/29/2021 12:04:00 PM,026XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1935,43,06,,,,,
144,6790,JF169043,03/08/2022 03:05:00 PM,053XX W MONTROSE AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1624,38,06,,,,,
145,6827,JF171549,11/19/2021 01:00:00 AM,050XX W VAN BUREN ST,0810,THEFT,OVER $500,STREET,N,N,1533,29,06,,,,,
146,6839,JF172578,03/08/2022 10:35:00 AM,017XX W ERIE ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1215,1,06,,,,,
147,6854,JF166769,03/08/2022 12:33:00 AM,040XX N RICHMOND ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1724,33,06,,,,,
148,6998,JE434479,10/22/2021 12:13:00 PM,017XX N LEAVITT ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1434,32,06,,,,,
149,7044,JE270433,06/18/2021 09:23:00 AM,008XX N TRUMBULL AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),STREET,Y,N,1121,27,18,,,,,
150,7063,JE382379,09/19/2021 10:05:00 PM,016XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),N,N,1814,43,14,,,,,
151,7214,JF100326,12/30/2021 03:15:00 PM,006XX N ST CLAIR ST,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1834,42,06,,,,,
