ind1, ind2,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
23,592,JE365735,09/05/2021 11:30:00 PM,014XX S MUSEUM CAMPUS DR,0870,THEFT,POCKET-PICKING,SPORTS ARENA / STADIUM,N,N,132,4,06,,,41.8662155,-87.6137248,
24,614,JE351825,08/23/2021 08:00:00 AM,013XX W CARMEN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,N,N,2033,47,11,,,41.9740355,-87.6926947,
25,646,JE412526,10/16/2021 08:05:00 PM,030XX W GUNNISON ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1713,33,06,,,41.96947867233706,-87.70445538759724,
26,1102,JE382835,09/18/2021 05:30:00 PM,006XX W Addison St,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1925,46,06,,,41.9457948,-87.7740531,
27,1292,JE251923,06/02/2021 12:00:00 AM,0000X W OHIO ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1831,42,06,,,41.892549,-87.62826,
28,1374,JE385255,09/17/2021 06:15:00 PM,040XX N FRANCISCO AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1724,33,06,,,41.95437543819368,-87.70058551648121,
29,1435,JE433824,10/30/2021 12:11:00 PM,026XX N SPAULDING AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1412,35,06,,,41.928663,-87.710978,
30,1528,JE217167,05/02/2021 01:45:00 PM,098XX S STATE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,N,N,511,21,14,,,41.870094630000004,-87.62730490999999,
31,1558,JE414186,10/16/2021 11:30:00 AM,002XX W WASHINGTON ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,122,42,06,,,41.88418555,-87.63018799018946,
32,1612,JE418434,09/12/2021 09:00:00 AM,069XX S KARLOV AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,833,13,11,,,41.87246089006684,-87.72773525209054,
33,1614,JE414098,10/16/2021 11:30:00 AM,055XX S SHORE DR,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,235,5,06,,,41.7968348,-87.5809475,
34,1676,JE363228,09/05/2021 05:44:00 PM,046XX N PAULINA ST,0810,THEFT,OVER $500,APARTMENT,N,N,1912,47,06,,,41.9995655,-87.67185394130104,
35,1716,JE385876,09/01/2021 12:51:00 PM,035XX S DR MARTIN LUTHER KING JR DR,0810,THEFT,OVER $500,APARTMENT,N,N,212,4,06,,,,,
36,1734,JE353889,08/10/2021 06:40:00 AM,005XX W 123RD ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER (SPECIFY),N,N,523,34,11,,,41.670628827266725,-87.62441845797356,
37,1798,JE377995,09/18/2021 03:47:00 AM,0000X W CONGRESS PKWY,0560,ASSAULT,SIMPLE,GAS STATION,N,N,113,4,08A,,,41.8753458,-87.6569744,
38,1869,JF119925,08/21/2021 12:00:00 PM,036XX N HALSTED ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,N,N,1923,44,26,,,41.88712906122449,-87.64763969387755,
39,1953,JE270657,06/17/2021 12:55:00 PM,061XX N Glenwood Ave,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,2433,48,11,,,,,
40,1963,JE482800,10/13/2021 09:00:00 AM,049XX W CATALPA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1621,39,11,,,41.9813631,-87.6912037,
41,2052,JF169049,03/07/2022 02:35:00 PM,057XX N Lincoln Ave,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2011,40,06,,,41.9261435,-87.6497766,
42,2061,JF172507,02/25/2022 12:00:00 PM,010XX W JACKSON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1232,25,11,,,41.87778,-87.652336,
43,2141,JE482471,11/26/2021 04:00:00 PM,009XX S CLARK ST,1120,DECEPTIVE PRACTICE,FORGERY,,N,N,123,4,10,,,41.8720052,-87.6306968,
44,2306,JF167309,03/07/2022 03:05:00 PM,027XX N PINE GROVE AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1935,43,06,,,41.931501078932286,-87.64051546675027,
45,2366,JE218978,05/02/2021 04:45:00 PM,007XX W RANDOLPH ST,0870,THEFT,POCKET-PICKING,CTA BUS,N,N,1224,27,06,,,41.8840931,-87.63350414983856,
46,2434,JE493649,12/29/2021 12:50:00 PM,019XX W Dickens Ave,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,N,1432,32,14,,,41.919689,-87.6758505,
47,2510,JE418482,10/16/2021 10:00:00 PM,016XX W WINONA ST,0810,THEFT,OVER $500,STREET,N,N,2032,40,06,,,41.975323,-87.67005,
48,2515,JE385241,09/16/2021 03:00:00 AM,020XX N SOUTHPORT AVE,0810,THEFT,OVER $500,STREET,N,N,1811,2,06,,,41.9434189,-87.663886,
49,2651,JE411293,10/16/2021 01:38:00 AM,0000X W CONGRESS PKWY,0860,THEFT,RETAIL THEFT,GAS STATION,N,N,113,4,06,,,41.8748698,-87.63994605057275,
50,2677,JE385382,06/30/2021 05:05:00 PM,050XX N MOZART ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,2031,40,11,,,,,
51,2734,JF120044,11/10/2021 12:00:00 AM,034XX W BERTEAU AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1723,35,06,,,41.957398666863064,-87.71398199410807,
52,2740,JE379516,09/18/2021 04:50:00 PM,007XX W BITTERSWEET PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),N,N,1915,46,11,,,,,
53,2763,JE379597,09/18/2021 11:20:00 PM,017XX W CATALPA AVE,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,2012,40,06,,,41.981521,-87.672641,
54,2856,JF119767,03/31/2021 11:20:00 AM,041XX W FULLERTON AVE,0890,THEFT,FROM BUILDING,FACTORY / MANUFACTURING BUILDING,N,N,2524,31,06,,,41.9254709,-87.6580587,
55,2948,JE397273,10/02/2021 03:30:00 AM,034XX N HALSTED ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1924,44,06,,,41.94426299904195,-87.6495051276256,
56,2966,JE414698,10/16/2021 03:07:00 AM,022XX W ESTES AVE,0810,THEFT,OVER $500,STREET,N,N,2411,50,06,,,42.01156,-87.6659695,
57,2971,JF173286,06/01/2021 09:00:00 AM,016XX N OAKLEY AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1434,32,11,,,41.9347992,-87.6855234,
58,3081,JE270628,06/18/2021 01:45:00 PM,001XX N KEELER AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VEHICLE NON-COMMERCIAL,Y,N,1114,28,18,,,41.88087100786009,-87.73046869302557,
59,3158,JF167912,03/07/2022 03:00:00 PM,012XX W ELMDALE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,2433,48,11,,,41.9908568,-87.6651706,
60,3234,JF167924,03/07/2022 10:00:00 PM,020XX N KEDZIE AVE,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,1414,32,06,,,41.884997,-87.706348,
61,3270,JE416417,10/16/2021 07:30:00 PM,015XX N WELLS ST,0890,THEFT,FROM BUILDING,RESTAURANT,N,N,1821,27,06,,,41.884751625053795,-87.63379205840036,
62,3372,JE334594,08/09/2021 11:00:00 PM,009XX W WRIGHTWOOD AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1935,43,06,,,41.92895331709759,-87.65200961438693,
63,3441,JF155843,12/15/2021 08:00:00 PM,056XX W HURON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,N,Y,1511,29,07,,,41.89476508163265,-87.6423453877551,
64,3596,JE418282,09/02/2021 11:00:00 AM,003XX W WELLINGTON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1934,44,26,,,41.9362002,-87.6590097,
65,3692,JE319768,07/30/2021 11:56:00 AM,004XX S PULASKI RD,2024,NARCOTICS,POSSESS - HEROIN (WHITE),PARKING LOT / GARAGE (NON RESIDENTIAL),Y,N,1132,28,18,,,,,
66,3748,JE399065,10/02/2021 11:30:00 PM,051XX S NEWCASTLE AVE,0810,THEFT,OVER $500,STREET,N,N,811,23,06,,,,,
67,3818,JE429790,10/30/2021 07:00:00 PM,0000X E OHIO ST,0810,THEFT,OVER $500,RESTAURANT,N,N,1834,42,06,,,41.89278195,-87.61981245,
68,3938,JF155544,12/27/2021 12:00:00 AM,107XX S ALBANY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2211,19,11,,,41.69846328571428,-87.69882636734694,
69,3990,JF155526,06/30/2021 12:00:00 PM,049XX W CORNELIA AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,1634,31,26,,,,,
70,3995,JE314767,07/26/2021 12:40:00 PM,003XX W CERMAK RD,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,Y,N,914,25,18,,,41.85305821496079,-87.62851167675386,
71,4023,JF151077,02/19/2022 11:40:00 AM,011XX N LOCKWOOD AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1524,37,11,,,41.88313731267725,-87.75772065112167,
72,4044,JE303447,07/16/2021 01:17:14 PM,004XX N LAWNDALE AVE,2027,NARCOTICS,POSSESS - CRACK,RESIDENCE,Y,N,1122,27,18,,,,,
73,4048,JE280023,06/26/2021 10:43:00 AM,039XX W CONGRESS PKWY,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1132,28,18,,,41.87446882718296,-87.72341047163613,
74,4095,JF119483,12/21/2021 11:30:00 PM,013XX W RANDOLPH ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1224,27,06,,,41.88438828571428,-87.66022789795919,
75,4119,JF137487,12/20/2021 12:00:00 AM,042XX W FORD CITY DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,833,18,11,,,,,
76,4142,JF119462,12/03/2021 01:40:00 PM,029XX W FILLMORE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1135,28,11,,,41.8673362,-87.7711208,
77,4159,JF137015,12/25/2021 04:00:00 PM,012XX W 98TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2213,21,06,,,41.7159513,-87.6431315,
78,4183,JE492005,12/29/2021 11:39:00 AM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,111,42,06,,,41.882358143972695,-87.62795405359931,
79,4208,JF119771,11/20/2021 12:00:00 PM,086XX W SUMMERDALE AVE,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,N,N,1614,41,10,,,41.9766323,-87.67011700715034,
80,4214,JE325739,08/04/2021 11:35:00 AM,002XX W 109TH ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),STREET,Y,N,513,34,18,,,41.69629691719769,-87.62430795630408,
81,4244,JF136497,12/13/2021 11:00:00 AM,008XX W MONROE ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1232,27,05,,,41.88061941294452,-87.63046407617382,
82,4292,JF153369,02/19/2022 12:00:00 AM,015XX W ADDISON ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1922,44,06,,,41.9457948,-87.7740531,
83,4308,JE483428,12/14/2021 11:20:00 PM,044XX N BEACON ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1913,46,06,,,,,
84,4331,JE493044,12/29/2021 06:16:00 PM,006XX N LA SALLE DR,0810,THEFT,OVER $500,GAS STATION,N,N,1832,42,06,,,,,
85,4356,JF155686,12/27/2021 07:30:00 AM,086XX S SOUTH CHICAGO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,423,7,07,,,,,
86,4385,JF119857,01/11/2022 02:24:00 PM,046XX N Damen Ave,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1912,47,11,,,41.89007356795437,-87.67699524075756,
87,4440,JF136927,12/21/2021 12:00:00 AM,011XX W 19TH ST,1120,DECEPTIVE PRACTICE,FORGERY,SCHOOL - PUBLIC BUILDING,N,N,1235,25,10,,,41.856712158092506,-87.65398893853484,
88,4495,JF136624,11/26/2021 10:00:00 AM,058XX S MARYLAND AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,235,5,11,,,41.7894666,-87.6049498,
89,4516,JE482863,12/14/2021 01:15:00 PM,063XX S SANGAMON ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,723,16,06,,,41.778958,-87.648511,
90,4538,JE218170,05/02/2021 03:00:00 PM,018XX W LELAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1912,47,14,,,41.96705079866361,-87.67566069421585,
91,4617,JF119716,12/24/2021 08:00:00 AM,036XX W AINSLIE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,1712,33,26,,,41.9696874,-87.7584674,
92,4619,JF113973,01/15/2022 12:45:00 PM,092XX S THROOP ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2222,21,06,,,41.694941,-87.6546231,
93,4699,JE430969,10/30/2021 12:30:00 PM,001XX N State St,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,111,42,11,,,41.882358143972695,-87.62795405359931,
94,4786,JF120164,12/23/2021 12:30:00 PM,014XX N WELLS ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1821,27,06,,,41.90801357105917,-87.63472527661895,
95,4820,JF118532,12/16/2021 03:00:00 PM,025XX S KILDARE AVE,1541,OBSCENITY,SALE / DISTRIBUTE OBSCENE MATERIAL TO MINOR,SCHOOL - PUBLIC BUILDING,Y,N,1013,22,26,,,41.87730269209323,-87.7330205407628,
96,4897,JF119648,01/12/2022 05:26:00 PM,010XX W MADISON ST,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,N,N,1232,25,06,,,41.88205047900245,-87.63175318833213,
97,4975,JE402360,09/23/2021 10:35:00 PM,002XX W WASHINGTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,122,42,11,,,,,
98,5028,JF119785,06/01/2021 09:00:00 AM,033XX W CONGRESS PKWY,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1134,28,05,,,41.8748698,-87.63994605057275,
99,5086,JF120151,04/12/2021 12:00:00 PM,105XX S PARNELL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2233,34,11,,,41.682017,-87.6360087,
100,5149,JF120215,08/25/2021 05:00:00 PM,062XX N MAGNOLIA AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,N,N,2433,48,17,,,41.9090749,-87.6591845,
101,5215,JF119695,12/22/2021 12:00:00 AM,012XX N LA SALLE DR,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1821,2,06,,,,,
102,5272,JE379649,09/19/2021 01:05:00 AM,032XX N SHEFFIELD AVE,0810,THEFT,OVER $500,BAR OR TAVERN,N,N,1924,44,06,,,41.940295602027504,-87.65400748312288,
103,5278,JE493480,12/30/2021 10:45:00 PM,016XX W CHASE AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,2423,49,08B,,,42.0139796,-87.66242562117927,
104,5346,JF119576,12/27/2021 02:05:00 AM,119XX S LAFAYETTE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,522,9,08A,,,41.6994044,-87.624485,
105,5348,JF120399,12/20/2021 12:00:00 AM,016XX N MILWAUKEE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,N,N,1434,2,11,,,41.910797,-87.678191,
106,5399,JF119930,12/07/2021 12:00:00 AM,001XX W DIVISION ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,BANK,N,N,1821,2,11,,,41.9039729,-87.64292967465617,
107,5439,JF119621,05/20/2021 10:50:00 AM,115XX S STATE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,522,34,11,,,41.86785883787023,-87.62724213127645,
108,5446,JE326750,08/05/2021 09:03:00 AM,002XX S PULASKI RD,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1115,28,18,,,41.880107,-87.72554,
109,5448,JE224601,05/09/2021 11:32:00 AM,0000X S WHIPPLE ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1124,28,18,,,,,
110,5492,JF120283,12/26/2021 12:00:00 AM,057XX N BROADWAY,0610,BURGLARY,FORCIBLE ENTRY,STREET,N,N,2013,48,05,,,41.9499295,-87.6490719,
111,5543,JF136337,11/18/2021 12:00:00 AM,058XX S EMERALD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,711,20,11,,,41.6687273,-87.6404042,
112,5641,JF119704,10/16/2021 02:00:00 AM,011XX N LA SALLE DR,0291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,VEHICLE NON-COMMERCIAL,N,N,1824,27,02,,,,,
113,5661,JE183186,03/29/2021 09:14:00 AM,030XX N LINCOLN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,N,N,1932,32,11,,,41.9254527,-87.6487665,
114,5732,JF172808,04/07/2021 12:00:00 AM,029XX W 83RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,835,18,11,,,41.742521591836734,-87.69572516326531,
115,5764,JF167914,03/07/2022 05:00:00 PM,023XX W GIDDINGS ST,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1911,47,06,,,41.9676216,-87.6987545,
116,5837,JE448942,11/14/2021 10:13:00 AM,046XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,1722,45,06,,,41.9536294,-87.7251086,
117,5848,JF120067,12/13/2021 04:30:00 PM,003XX W ARMITAGE AVE,1330,CRIMINAL TRESPASS,TO LAND,SCHOOL - PRIVATE GROUNDS,N,N,1814,43,26,,,41.9178724,-87.6709521,
118,5854,JF120632,12/12/2021 12:00:00 AM,070XX S ARTESIAN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,832,17,06,,,41.8138639,-87.6858466,
119,5879,JF132515,02/01/2022 12:25:00 PM,011XX N CLARK ST,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,1824,2,06,,,41.883435936414024,-87.631024,
120,6004,JF119766,11/17/2021 12:05:00 PM,045XX W ANN LURIE PL,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,N,N,815,14,10,,,,,
121,6053,JF165845,03/07/2022 12:06:00 AM,065XX S LOWE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,ATM (AUTOMATIC TELLER MACHINE),N,N,723,20,11,,,41.6631853,-87.6378106,
122,6079,JF120032,12/17/2021 12:00:00 PM,072XX N WASHTENAW AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,2411,50,10,,,41.89402746658434,-87.69407515744155,
123,6110,JE284809,06/30/2021 01:19:00 PM,007XX N HARDING AVE,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,Y,N,1112,37,18,,,,,
124,6126,JF119681,12/05/2021 06:00:00 AM,023XX W BIRCHWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),N,N,2411,50,26,,,42.017508,-87.68853,
125,6240,JF119647,12/24/2021 06:00:00 PM,011XX S WABASH AVE,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,123,4,06,,,41.8337622,-87.6250387,
126,6268,JF113924,01/15/2022 01:15:00 PM,010XX W ARGYLE ST,0560,ASSAULT,SIMPLE,STREET,N,N,2024,48,08A,,,41.97338053819473,-87.6558939973779,
127,6271,JF119904,12/17/2021 01:25:00 PM,014XX N LINDER AVE,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,2532,37,06,,,41.9454623,-87.7642724,
128,6301,JF173297,12/16/2021 08:00:00 AM,073XX S PEORIA ST,0820,THEFT,$500 AND UNDER,STREET,N,N,733,17,06,,,41.7214818,-87.6456461,
129,6325,JF119870,06/03/2021 11:00:00 AM,057XX N MOZART ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,2011,40,26,,,41.98514674757279,-87.70054751316563,
130,6351,JF119884,11/01/2021 12:00:00 AM,027XX S MILLARD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1032,22,11,,,41.842085755634976,-87.71605705136807,
131,6367,JF137115,10/29/2021 04:00:00 PM,021XX N AVERS AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,N,N,2525,26,17,,,41.892173,-87.7223226,
132,6395,JF119872,06/01/2021 12:00:00 AM,038XX N PIONEER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1631,38,11,,,41.94884127413248,-87.83178540913775,
133,6419,JF119853,11/25/2021 10:30:00 PM,061XX S LANGLEY AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,313,20,06,,,41.8247927,-87.6101361,
134,6420,JF119629,12/14/2021 03:00:00 PM,008XX W 119TH ST,0890,THEFT,FROM BUILDING,LIBRARY,N,N,524,34,06,,,,,
135,6434,JF119723,12/18/2021 03:00:00 PM,015XX E 61ST ST,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,314,5,08A,,,41.783867208848264,-87.62130972219383,
