CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE472609,12/10/2021 12:00:00 PM,048XX S DREXEL BLVD,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,N,222,4,04B,1183133,1873130,41.807067906,-87.603843747,"(41.807067906, -87.603843747)"
JE473120,12/10/2021 06:50:00 PM,031XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,N,Y,1222,28,08B,1155520,1899851,41.88099198,-87.704402338,"(41.88099198, -87.704402338)"
JF122233,01/24/2022 02:20:00 AM,019XX W ERIE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1221,1,08B,1163400,1904359,41.893200189,-87.675340584,"(41.893200189, -87.675340584)"
JE445561,10/28/2021 02:00:00 PM,0000X W TERMINAL ST,0810,THEFT,OVER $500,AIRPORT VENDING ESTABLISHMENT,N,N,1651,41,06,1100317,1935229,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
JE477639,12/10/2021 08:00:00 PM,0000X W 71ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,731,6,14,1176970,1857910,41.765444001,-87.626906181,"(41.765444001, -87.626906181)"
JF123158,01/24/2022 09:01:00 PM,027XX N CICERO AVE,2020,NARCOTICS,POSSESS - AMPHETAMINES,STREET,Y,N,2521,31,18,1143931,1917470,41.929565614,-87.746514201,"(41.929565614, -87.746514201)"
JF122858,01/24/2022 09:13:00 AM,089XX S OGLESBY AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,413,7,05,1193389,1846199,41.732922254,-87.567108549,"(41.732922254, -87.567108549)"
JF122480,01/24/2022 09:50:00 AM,015XX E 70TH ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,332,5,04B,1187756,1858884,41.767866857,-87.587341608,"(41.767866857, -87.587341608)"
JF122524,01/24/2022 10:56:00 AM,086XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,613,21,08B,1170494,1847547,41.737150055,-87.650943966,"(41.737150055, -87.650943966)"
JE487837,12/24/2021 12:39:00 PM,005XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,121,42,08B,1172573,1900294,41.881847601,-87.641772074,"(41.881847601, -87.641772074)"
JE458235,11/27/2021 10:55:00 AM,046XX N CLARK ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,N,N,1912,47,08A,1165506,1930838,41.965815477,-87.666850116,"(41.965815477, -87.666850116)"
JE399364,09/27/2021 12:41:00 PM,055XX W ROSCOE ST,1585,SEX OFFENSE,OTHER,RESIDENCE,N,Y,1633,36,17,1138928,1922059,41.942250794,-87.764787235,"(41.942250794, -87.764787235)"
JE458307,11/27/2021 11:20:00 AM,133XX S EDBROOKE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,533,9,08B,1179801,1816920,41.65289772,-87.617778222,"(41.65289772, -87.617778222)"
JE458170,11/27/2021 08:00:00 AM,0000X W ILLINOIS ST,0810,THEFT,OVER $500,HOTEL / MOTEL,N,N,1831,42,06,1175996,1903601,41.890845813,-87.629103359,"(41.890845813, -87.629103359)"
JE459329,11/27/2021 09:00:00 AM,038XX W CONGRESS PKWY,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1133,28,07,1150713,1897421,41.874419102,-87.722116976,"(41.874419102, -87.722116976)"
JE464068,11/15/2021 09:00:00 AM,054XX W RACE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1523,37,05,1139799,1903021,41.889992497,-87.76205198,"(41.889992497, -87.76205198)"
JF122513,01/24/2022 01:45:00 AM,020XX N KIMBALL AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,1413,26,03,1153381,1913165,41.917569606,-87.711902519,"(41.917569606, -87.711902519)"
JF123028,01/24/2022 06:31:00 PM,054XX S MAPLEWOOD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,923,14,15,1160299,1868376,41.79452363,-87.68772284,"(41.79452363, -87.68772284)"
JE478050,10/19/2021 12:00:00 PM,081XX S COLFAX AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,422,7,11,1194922,1851574,41.747634115,-87.561315922,"(41.747634115, -87.561315922)"
JF122322,01/24/2022 07:40:00 AM,061XX S COTTAGE GROVE AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,Y,313,20,04B,1182620,1864479,41.783340761,-87.605993706,"(41.783340761, -87.605993706)"
JE473335,12/10/2021 05:30:00 PM,003XX E SUPERIOR ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1833,2,07,1178616,1905434,41.89581624,-87.61942553,"(41.89581624, -87.61942553)"
JE473116,12/10/2021 07:30:00 PM,014XX N WASHTENAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1423,1,08B,1158153,1909416,41.907185828,-87.694472597,"(41.907185828, -87.694472597)"
JF123213,01/24/2022 11:52:00 PM,009XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,712,16,15,1171255,1863060,41.779703112,-87.647702916,"(41.779703112, -87.647702916)"
JE472975,12/10/2021 10:30:00 AM,009XX N MASSASOIT AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1511,29,26,1137856,1905624,41.897170733,-87.769124796,"(41.897170733, -87.769124796)"
JE473534,12/10/2021 06:45:00 PM,072XX S VERNON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,323,6,07,1180501,1857077,41.763077855,-87.613989588,"(41.763077855, -87.613989588)"
JF122547,01/24/2022 10:30:00 AM,017XX E 72ND ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,324,7,04A,1189209,1857587,41.764273074,-87.582057311,"(41.764273074, -87.582057311)"
JF123200,01/24/2022 10:56:00 PM,003XX S PULASKI RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1132,28,15,1149787,1897930,41.8758339,-87.725503629,"(41.8758339, -87.725503629)"
JF124253,01/24/2022 01:00:00 AM,024XX N SAWYER AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1413,32,06,1154065,1916032,41.925423264,-87.70931282,"(41.925423264, -87.70931282)"
JF122272,01/24/2022 04:40:00 AM,011XX S DELANO CT W,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,N,N,123,25,05,1175065,1895290,41.868060842,-87.632771561,"(41.868060842, -87.632771561)"
JE475823,12/10/2021 05:00:00 PM,062XX N NORDICA AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1611,41,06,1128596,1941270,41.995149568,-87.80232505,"(41.995149568, -87.80232505)"
JE473489,12/10/2021 06:45:00 PM,080XX S COTTAGE GROVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,631,8,14,1182951,1851892,41.748793106,-87.605170835,"(41.748793106, -87.605170835)"
JE473003,12/10/2021 05:00:00 PM,011XX S WABASH AVE,0870,THEFT,POCKET-PICKING,RESTAURANT,N,N,123,4,06,1176951,1895401,41.868322989,-87.625844413,"(41.868322989, -87.625844413)"
JE473831,12/10/2021 10:00:00 PM,031XX N LOCKWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2514,30,07,1140493,1920254,41.937269067,-87.759079523,"(41.937269067, -87.759079523)"
JF123094,01/24/2022 07:21:00 PM,015XX S MILLARD AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,1014,24,06,1152291,1892251,41.860201058,-87.716459625,"(41.860201058, -87.716459625)"
JF123167,01/24/2022 09:15:00 PM,099XX S WESTERN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,2213,19,07,1162136,1838580,41.712720927,-87.681813981,"(41.712720927, -87.681813981)"
JE476041,12/10/2021 09:00:00 PM,023XX W MADISON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,STREET,N,N,1223,27,11,1160808,1899960,41.881183104,-87.68498211,"(41.881183104, -87.68498211)"
JE472671,12/10/2021 01:00:00 AM,006XX S STATE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,N,N,123,4,08B,1176452,1897617,41.8744151,-87.627609439,"(41.8744151, -87.627609439)"
JF122643,01/24/2022 12:22:00 PM,009XX S KEDZIE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,Y,N,1134,24,15,1155176,1895748,41.869739835,-87.705775644,"(41.869739835, -87.705775644)"
JF108150,01/10/2022 02:53:00 AM,082XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,631,6,08B,1178582,1850480,41.745018758,-87.621223149,"(41.745018758, -87.621223149)"
JE458230,11/27/2021 07:20:00 AM,045XX S DREXEL BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,221,4,14,1182955,1875130,41.812560204,-87.604434374,"(41.812560204, -87.604434374)"
JE458031,11/27/2021 01:30:00 AM,034XX S PRAIRIE AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,211,3,07,1178496,1882270,41.83225556,-87.620572592,"(41.83225556, -87.620572592)"
JE461891,11/26/2021 09:44:00 PM,083XX S PULASKI RD,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN / LIQUOR STORE,Y,N,834,18,22,1151190,1848759,41.740874255,-87.721637255,"(41.740874255, -87.721637255)"
JE458799,11/27/2021 01:30:00 PM,001XX E 95TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,634,9,14,1178987,1842019,41.721791527,-87.619996124,"(41.721791527, -87.619996124)"
JE458033,11/27/2021 03:23:00 AM,091XX S WOODLAWN AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,STREET,N,N,413,8,15,1185806,1844566,41.728623014,-87.594939523,"(41.728623014, -87.594939523)"
JE473214,12/10/2021 08:37:00 PM,033XX N RAVENSWOOD AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1922,47,06,1163634,1922394,41.942684487,-87.673971939,"(41.942684487, -87.673971939)"
JF122264,01/24/2022 03:45:00 AM,054XX N EAST RIVER RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1614,41,08B,1116633,1934807,41.977609479,-87.846467101,"(41.977609479, -87.846467101)"
JE473740,12/10/2021 12:18:00 PM,0000X E 124TH PL,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,532,9,06,1178935,1822309,41.667705673,-87.620783822,"(41.667705673, -87.620783822)"
JE472847,12/10/2021 02:35:00 PM,076XX S RHODES AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,ALLEY,N,N,624,6,26,1181227,1854479,41.755931978,-87.611408601,"(41.755931978, -87.611408601)"
JE473266,12/10/2021 10:00:00 PM,006XX E 90TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,633,8,08B,1182049,1845109,41.730200685,-87.608685353,"(41.730200685, -87.608685353)"
JF123049,01/24/2022 06:45:00 PM,090XX S BLACKSTONE AVE,0560,ASSAULT,SIMPLE,STREET,N,N,413,8,08A,1187694,1845328,41.73066937,-87.587999287,"(41.73066937, -87.587999287)"
JE473381,12/10/2021 11:30:00 PM,039XX W FULLERTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL / MOTEL,N,N,2525,35,14,1149791,1915668,41.924508692,-87.725027144,"(41.924508692, -87.725027144)"
JE478172,12/07/2021 01:00:00 PM,052XX S NASHVILLE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,811,14,11,1133265,1869185,41.797258033,-87.786838876,"(41.797258033, -87.786838876)"
JE478284,12/01/2021 07:00:00 AM,014XX E 69TH PL,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,Y,332,5,26,1186844,1859194,41.768739181,-87.590674643,"(41.768739181, -87.590674643)"
JF122295,01/24/2022 06:43:00 AM,064XX S EBERHART AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),N,N,312,20,15,1180687,1862345,41.77752951,-87.613146192,"(41.77752951, -87.613146192)"
JE472549,12/10/2021 08:10:00 AM,023XX N WESTERN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,N,N,1431,1,11,1159981,1915316,41.923338311,-87.687594371,"(41.923338311, -87.687594371)"
JF122517,01/24/2022 10:00:00 AM,036XX W GRAND AVE,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,N,2535,27,08A,1151458,1907935,41.903256018,-87.719105324,"(41.903256018, -87.719105324)"
JE393551,10/01/2021 12:33:00 AM,102XX S WENTWORTH AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,511,9,04B,1176749,1836997,41.708061068,-87.628344113,"(41.708061068, -87.628344113)"
JE472244,12/10/2021 08:30:00 AM,033XX N NAGLE AVE,0810,THEFT,OVER $500,STREET,N,N,1632,36,06,1132786,1921505,41.940840124,-87.787375191,"(41.940840124, -87.787375191)"
JF123156,01/24/2022 09:22:00 PM,0000X W CHESTNUT ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,N,Y,1832,2,07,1175628,1906198,41.897980396,-87.630376682,"(41.897980396, -87.630376682)"
JE472352,12/10/2021 07:30:00 AM,053XX N WESTERN AVE,0870,THEFT,POCKET-PICKING,NURSING / RETIREMENT HOME,N,N,2011,40,06,1159379,1935412,41.978495324,-87.689251423,"(41.978495324, -87.689251423)"
JE472662,12/10/2021 01:00:00 PM,133XX S CARONDOLET AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,N,N,433,10,06,1198440,1817203,41.653229509,-87.54957134,"(41.653229509, -87.54957134)"
JE472630,12/10/2021 10:15:00 AM,009XX W WASHINGTON BLVD,1120,DECEPTIVE PRACTICE,FORGERY,BANK,N,N,1224,27,10,1169945,1900720,41.883074281,-87.651409543,"(41.883074281, -87.651409543)"
JE473217,12/10/2021 08:29:00 PM,031XX W 82ND ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,835,18,15,1157033,1850071,41.744358632,-87.700193396,"(41.744358632, -87.700193396)"
JE472107,12/10/2021 01:00:00 AM,0000X S MIDWAY ST,0810,THEFT,OVER $500,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,N,N,813,13,06,1145919,1866019,41.788339891,-87.740514226,"(41.788339891, -87.740514226)"
JE473289,12/10/2021 09:28:00 PM,025XX N HALSTED ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,1935,43,07,1170505,1917288,41.928525595,-87.648867761,"(41.928525595, -87.648867761)"
JE487796,12/24/2021 04:00:00 AM,074XX S DORCHESTER AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,324,8,26,1186830,1855927,41.75977457,-87.59082933,"(41.75977457, -87.59082933)"
JE396399,10/01/2021 04:30:00 PM,051XX N LEAVITT ST,0810,THEFT,OVER $500,STREET,N,N,2031,40,06,1160741,1934316,41.975459642,-87.684273167,"(41.975459642, -87.684273167)"
JE472095,12/10/2021 01:40:00 AM,002XX W 119TH ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,N,Y,522,34,04B,1176623,1826024,41.677952365,-87.629134044,"(41.677952365, -87.629134044)"
JE393909,10/01/2021 04:30:00 AM,030XX W MONTROSE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,N,N,1724,33,14,1155159,1929082,41.961211463,-87.704941388,"(41.961211463, -87.704941388)"
JE458217,11/27/2021 10:55:00 AM,039XX W MARQUETTE RD,0560,ASSAULT,SIMPLE,STREET,N,N,833,13,08A,1151356,1859885,41.77140263,-87.720738764,"(41.77140263, -87.720738764)"
JE458548,11/27/2021 04:06:00 PM,007XX E 43RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,214,4,08B,1181953,1876664,41.816792881,-87.608062183,"(41.816792881, -87.608062183)"
JE458018,11/27/2021 02:52:00 AM,040XX W DIVERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2523,31,08B,1148972,1918311,41.931777224,-87.727967958,"(41.931777224, -87.727967958)"
JE472304,12/10/2021 09:15:00 AM,014XX N HUMBOLDT DR,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,1423,26,08A,1156303,1909321,41.906962748,-87.701271041,"(41.906962748, -87.701271041)"
JF123196,01/24/2022 10:25:00 PM,014XX N CENTRAL AVE,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,Y,N,2531,29,18,1138738,1908958,41.906303669,-87.765804274,"(41.906303669, -87.765804274)"
JF122623,01/24/2022 12:00:00 AM,031XX W 66TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),N,N,831,17,11,1156391,1860689,41.773509032,-87.702260375,"(41.773509032, -87.702260375)"
JE473292,12/10/2021 10:23:00 PM,014XX N LAWLER AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,2533,37,24,1142441,1909109,41.906649995,-87.752197796,"(41.906649995, -87.752197796)"
JE472122,12/10/2021 02:20:00 AM,022XX S CALIFORNIA AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,1034,12,04B,1158050,1888805,41.850629374,-87.695413721,"(41.850629374, -87.695413721)"
JE472150,12/10/2021 04:37:00 AM,048XX N SHERIDAN RD,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,2024,46,08A,1168754,1932564,41.970481724,-87.654857679,"(41.970481724, -87.654857679)"
JE478487,05/29/2021 12:00:00 AM,018XX E 72ND ST,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,Y,Y,324,7,02,1189730,1857599,41.7642935,-87.580147362,"(41.7642935, -87.580147362)"
JE473290,12/10/2021 03:30:00 PM,017XX S RACINE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1235,25,05,1168643,1891803,41.858633625,-87.656448728,"(41.858633625, -87.656448728)"
JE472336,12/10/2021 07:59:00 AM,017XX E 95TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,N,N,431,7,05,1189545,1842328,41.722392879,-87.581314566,"(41.722392879, -87.581314566)"
JE478095,10/04/2021 12:00:00 AM,003XX E 90TH PL,0810,THEFT,OVER $500,RESIDENCE,N,N,633,9,06,1179880,1845045,41.730074896,-87.616632959,"(41.730074896, -87.616632959)"
JE474271,12/10/2021 11:00:00 PM,032XX S CALIFORNIA AVE,0810,THEFT,OVER $500,STREET,N,N,911,12,06,1158223,1882831,41.834232513,-87.69494175,"(41.834232513, -87.69494175)"
JF122216,01/24/2022 01:00:00 AM,078XX S LAFLIN ST,0810,THEFT,OVER $500,APARTMENT,N,Y,612,17,06,1167475,1852753,41.751501215,-87.66185587,"(41.751501215, -87.66185587)"
JF122535,01/24/2022 10:44:00 AM,061XX S WABASH AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,311,20,08A,1177769,1864388,41.783202274,-87.623781712,"(41.783202274, -87.623781712)"
JE477440,12/10/2021 09:00:00 PM,091XX S ELLIS AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,413,8,06,1184480,1844681,41.728969698,-87.599793306,"(41.728969698, -87.599793306)"
JE472227,12/10/2021 08:08:00 AM,015XX W 82ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,614,21,08B,1167644,1850358,41.744925379,-87.661305112,"(41.744925379, -87.661305112)"
JE472773,12/10/2021 12:23:00 PM,057XX W FULLERTON AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,N,N,2515,30,06,1137786,1915376,41.923932635,-87.769146299,"(41.923932635, -87.769146299)"
JF123524,01/24/2022 10:00:00 PM,018XX W 119TH ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2234,34,06,1166197,1825750,41.677427958,-87.667304587,"(41.677427958, -87.667304587)"
JF122768,01/24/2022 12:59:00 PM,003XX W DIVISION ST,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),STREET,Y,N,1823,27,18,1174067,1908317,41.903829996,-87.636046771,"(41.903829996, -87.636046771)"
JE394628,10/01/2021 08:35:00 PM,067XX S STONY ISLAND AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,N,Y,332,5,08A,1188026,1860690,41.772816243,-87.586294452,"(41.772816243, -87.586294452)"
